Actor,count
Robert De Niro,53
Morgan Freeman,42
Bruce Willis,38
Johnny Depp,37
Matt Damon,36
Steve Buscemi,34
Liam Neeson,33
Nicolas Cage,32
Brad Pitt,32
Denzel Washington,31
J.K. Simmons,30
Bill Murray,30
Will Ferrell,30
Robert Downey Jr.,29
Harrison Ford,29
Tom Cruise,29
Tom Hanks,28
Anthony Hopkins,27
Scarlett Johansson,27
Sylvester Stallone,27
Julia Roberts,26
Christian Bale,26
Meryl Streep,26
James Franco,25
Robin Williams,25
Jim Broadbent,25
Tom Wilkinson,25
Angelina Jolie,25
Matthew McConaughey,24
Hugh Jackman,24
Jason Statham,24
Kirsten Dunst,24
Robert Duvall,23
Adam Sandler,23
Gerard Butler,23
Keanu Reeves,23
Dwayne Johnson,23
Charlize Theron,23
Jeff Bridges,22
Leonardo DiCaprio,22
Kevin Spacey,22
Judy Greer,22
Anne Hathaway,22
Philip Seymour Hoffman,22
Gary Oldman,22
Channing Tatum,21
Kate Winslet,21
Dennis Quaid,21
Al Pacino,20
Will Smith,20
Naomi Watts,20
Rosario Dawson,20
Oliver Platt,19
Steve Carell,19
Paul Walker,19
Bradley Cooper,19
Stephen Root,18
Ryan Reynolds,18
Vin Diesel,18
Natalie Portman,18
Salma Hayek,18
Zooey Deschanel,18
Jon Favreau,17
Brendan Fraser,17
Jake Gyllenhaal,17
Joseph Gordon-Levitt,17
Viggo Mortensen,17
Kristen Stewart,17
Colin Firth,17
Milla Jovovich,17
Jada Pinkett Smith,16
Steve Coogan,16
Jason Flemyng,16
Chloë Grace Moretz,16
Scott Glenn,15
Bruce McGill,15
Clint Eastwood,15
Mila Kunis,15
Djimon Hounsou,15
William Hurt,15
Don Cheadle,14
Delroy Lindo,14
Olivia Wilde,14
Josh Hutcherson,14
Ryan Gosling,14
Catherine O'Hara,14
Bruce Greenwood,14
Clifton Collins Jr.,14
Jennifer Lawrence,14
Lin Shaye,14
Jennifer Garner,14
Chris Hemsworth,14
Christopher Lee,13
Amy Poehler,13
Demi Moore,13
Chazz Palminteri,13
Emma Stone,13
Matthew Broderick,13
Nia Long,13
Michael Rapaport,13
Jay Hernandez,13
Jon Lovitz,13
Anna Kendrick,13
Jet Li,13
Adam Scott,13
Frank Langella,13
Jamie Lee Curtis,13
Rip Torn,12
Bernie Mac,12
Cary-Hiroyuki Tagawa,12
Jennifer Jason Leigh,12
Martin Landau,12
Robin Wright,12
Mark Margolis,12
Bob Hoskins,12
Minnie Driver,12
Daniel Radcliffe,12
Mike Starr,12
Ray Winstone,12
Gary Cole,12
Alfre Woodard,12
Chris Evans,12
Alexa PenaVega,12
Peter Dinklage,12
Thomas Lennon,12
Sam Shepard,12
Mekhi Phifer,11
Vivica A. Fox,11
John Heard,11
David Oyelowo,11
Janeane Garofalo,11
Alan Rickman,11
Natasha Lyonne,11
Kelly Preston,11
Rufus Sewell,11
Michael Fassbender,11
Kristin Scott Thomas,11
Orlando Bloom,11
Mike Epps,11
Jeremy Renner,11
Hal Holbrook,11
Fred Willard,11
Anjelica Huston,11
Nathan Lane,11
Tom Hardy,11
Eddie Marsan,11
Thomas Kretschmann,11
Hayden Christensen,11
Callum Rennie,10
Cedric the Entertainer,10
Hope Davis,10
John Michael Higgins,10
Benedict Cumberbatch,10
Radha Mitchell,10
Holly Hunter,10
Woody Allen,10
Toby Jones,10
Adam Goldberg,10
Dominic Cooper,10
Clea DuVall,10
Sarah Michelle Gellar,10
Joan Allen,10
Aidan Quinn,10
Cole Hauser,10
Christoph Waltz,10
Bill Cobbs,10
Heath Ledger,10
Olivia Williams,10
Dave Chappelle,10
Michael Biehn,10
Justin Timberlake,10
James Frain,10
Paul Sorvino,10
John Ratzenberger,10
Albert Brooks,10
Michael Kelly,10
Desmond Llewelyn,10
Mako,10
Virginia Madsen,10
Logan Lerman,10
LL Cool J,10
Romany Malco,9
Ivana Milicevic,9
Ethan Embry,9
Jake Busey,9
Treat Williams,9
Kevin Pollak,9
Jordi MollÃ ,9
Lili Taylor,9
Frances Fisher,9
Cheech Marin,9
Jon Hamm,9
Philip Baker Hall,9
Common,9
Haley Joel Osment,9
Faizon Love,9
Tony Goldwyn,9
Stockard Channing,9
Brian Dennehy,9
Miranda Richardson,9
Larry Miller,9
Vanessa Williams,9
Tom Skerritt,9
Rupert Everett,9
Marlon Brando,9
Emily Watson,9
Michael Wincott,9
Anne Heche,9
Tony Curran,9
Tim Blake Nelson,9
Loretta Devine,9
Bruce Dern,9
Connie Nielsen,9
Alicia Witt,9
Bokeem Woodbine,8
Beth Grant,8
Eric Stoltz,8
Leslie Bibb,8
Sanaa Lathan,8
Alexander Skarsgård,8
Blythe Danner,8
Omar Epps,8
Ben Mendelsohn,8
Edgar Ramírez,8
Diedrich Bader,8
Tina Fey,8
Ethan Suplee,8
Will Patton,8
Frank Welker,8
Dylan Baker,8
Jeffrey Jones,8
Sissy Spacek,8
Fisher Stevens,8
Colin Salmon,8
Debi Mazar,8
James Coburn,8
Imelda Staunton,8
Lois Maxwell,8
Sarah Polley,8
Rob Riggle,8
Joe Morton,8
Dougray Scott,8
Rene Russo,8
Noah Emmerich,8
Ed Begley Jr.,8
Michael Angarano,8
Charlotte Rampling,8
Donald Pleasence,8
